Module No,Module Nsme,"Complexity (Beginner, Standard, Expert)",Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Explanation,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which component reflects non financial risk?,Discount rate,Risk adjustment,CSM,OCI,Risk adjustment,Risk adjustment captures uncertainty in non financial risks.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which standard governs insurance contract accounting?,IFRS 9,IFRS 15,IFRS 17,IAS 37,IFRS 17,IFRS 17 applies to insurance contracts.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Standard,Which element prevents recognition of upfront profits?,Discount rate,Fulfilment cash flows,Risk adjustment,CSM,CSM,CSM defers unearned profit.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Standard,Which contracts are excluded from IFRS 17?,Short term insurance,Significant risk contracts,Manufacturer warranties,Life insurance,Manufacturer warranties,Manufacturer warranties are scoped out.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Expert,What assessment is required to apply PAA?,Premium adequacy,Coverage less than one year,Material difference from GMM,Acquisition cost deferral,Material difference from GMM,PAA eligibility requires comparison to GMM.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,What triggers initial recognition of an insurance contract under IFRS 17,Receipt of first premium,When the entity becomes party to the contract,When the first claim occurs,When the policy document is issued,When the entity becomes party to the contract,Initial recognition occurs when the insurer has substantive rights and obligations under the contract,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which of the following best describes fulfilment cash flows,Statutory reserves required by regulators,Present value of expected future cash inflows and outflows,Total premiums received,Claims paid to date,Present value of expected future cash inflows and outflows,Fulfilment cash flows represent current estimates of future obligations,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,What is the main role of the contractual service margin at initial recognition,To measure expected claims,To represent unearned profit,To calculate discount rates,To measure investment income,To represent unearned profit,CSM represents profit that will be recognised as services are provided,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which statement best describes the objective of initial measurement,To determine fair value of contracts,To establish current estimates and defer profit,To maximise reported equity,To match premiums with cash flows,To establish current estimates and defer profit,Initial measurement reflects current assumptions and defers profit through CSM,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which event occurs at initial recognition for a profitable group of contracts,Immediate profit recognition,Creation of a contractual service margin,Recognition of a loss component,Transfer to OCI,Creation of a contractual service margin,A CSM is established to defer profit for profitable groups,,,,,,,,,,,,
5,Measurement on Initial Recognition,Expert,Which condition must be satisfied for an insurance contract to be recognised under IFRS 17,The policyholder has paid the first premium,The entity has substantive rights and obligations,The contract is legally enforceable,The contract transfers significant insurance risk,The entity has substantive rights and obligations,"Recognition is based on substantive rights and obligations, not cash flows",,,,,,,,,,,,
5,Measurement on Initial Recognition,Expert,How are cash flows arising from embedded options within insurance contracts treated at initial recognition,Excluded from measurement,Included within fulfilment cash flows,Recognised separately under IFRS 9,Recognised directly in equity,Included within fulfilment cash flows,Cash flows from embedded features within the contract boundary are included,,,,,,,,,,,,
5,Measurement on Initial Recognition,Expert,Which statement best describes the treatment of future management actions at initial recognition,They are ignored,They are included if the entity has the ability and intention to act,They are recognised as separate assets,They are deferred in OCI,They are included if the entity has the ability and intention to act,IFRS 17 includes realistic management actions in expected cash flows,,,,,,,,,,,,
5,Measurement on Initial Recognition,Expert,What is the impact of changes in contract boundary assumptions at initial recognition,They adjust the contractual service margin,They affect which cash flows are included,They are recognised in profit or loss,They are ignored for measurement,They affect which cash flows are included,Contract boundary determines the scope of included cash flows,,,,,,,,,,,,
5,Measurement on Initial Recognition,Expert,Which principle ensures that insurance liabilities reflect unbiased current estimates,Conservatism principle,Historical cost principle,Best estimate principle,Matching principle,Best estimate principle,IFRS 17 requires unbiased probability weighted estimates,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,What does subsequent measurement refer to under IFRS 17?,Reassessment of reinsurance cash flows,Update of contract liabilities after initial recognition,Only incurred claims measurement,Premium receipt testing,Update of contract liabilities after initial recognition,Subsequent measurement updates insurance liabilities.,,,,,,,,,,,,
6,Subsequent Measurement,Standard,A 4 year contract has CSM of 8000. How much is recognized per year?,2000 per year,0 then 8000,4000 then 1333,8000 immediately,2000 per year,CSM is recognized evenly over service.,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,How often are fulfilment cash flows updated?,Once a year,Monthly,At each reporting date,Never,At each reporting date,Cash flows are updated each reporting period.,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,How are claims incurred shown in financials?,In CSM,In OCI,In fulfilment cash flows,In profit or loss,In profit or loss,Claims relating to past service are expensed.,,,,,,,,,,,,
6,Subsequent Measurement,Standard,What causes a change in risk adjustment?,Interest rate changes,Increase in past claims,Change in uncertainty,Capital movements,Change in uncertainty,Risk adjustment reflects uncertainty changes.,,,,,,,,,,,,
6,Subsequent Measurement,Expert,Which changes are excluded from adjusting CSM?,Future service estimates,Time value updates,Risk of lapses,Policyholder behaviour,Time value updates,Interest accretion is treated as finance income.,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,Which affects the Liability for Incurred Claims?,Future premiums,Reinsurance commission,Claims already incurred,Profit emergence,Claims already incurred,LIC relates to past claims.,,,,,,,,,,,,
6,Subsequent Measurement,Standard,What does the Liability for Remaining Coverage include?,CSM plus premiums,Fulfilment cash flows plus CSM,Claims paid,Gross income,Fulfilment cash flows plus CSM,LRC relates to future coverage.,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,What does LIC capture?,Future claims,Earned premiums,Deferred acquisition costs,Claims already incurred,Claims already incurred,LIC reflects incurred obligations.,,,,,,,,,,,,
6,Subsequent Measurement,Standard,What role does risk adjustment play?,Reduces cash flows,Defers tax,Adjusts for non financial risk uncertainty,Ignores inflation,Adjusts for non financial risk uncertainty,Risk adjustment captures uncertainty.,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,Which component represents unearned profit?,LIC,Risk adjustment,CSM,Premium receivable,CSM,CSM represents unearned profit.,,,,,,,,,,,,
6,Subsequent Measurement,Standard,Which changes adjust the CSM?,Past service claims,Future service cash flow estimates,Interest accretion,Claims paid,Future service cash flow estimates,Future service changes adjust CSM.,,,,,,,,,,,,
6,Subsequent Measurement,Standard,Where is CSM release presented?,Finance income,Insurance service result,OCI,Retained earnings,Insurance service result,CSM release is part of insurance service result.,,,,,,,,,,,,
6,Subsequent Measurement,Expert,Which change affects risk adjustment but not CSM?,Mortality improvement,Expense inflation,Change in uncertainty level,Coverage units,Change in uncertainty level,Uncertainty affects risk adjustment.,,,,,,,,,,,,
6,Subsequent Measurement,Expert,When is a loss component recognized?,Interest rate increase,Risk adjustment increase,Fulfilment cash flows exceed CSM,Investment gains,Fulfilment cash flows exceed CSM,Onerous contracts create a loss component.,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,How is the risk adjustment updated under IFRS 17,It remains fixed at initial recognition,It is remeasured to reflect current non financial risk,It is transferred to CSM,It is recognised in OCI,It is remeasured to reflect current non financial risk,Risk adjustment is updated only to reflect changes in uncertainty about non financial risk,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,How are fulfilment cash flows treated after initial recognition,They remain fixed at inception,They are remeasured using current assumptions,They are transferred to CSM only,They are recognised in OCI,They are remeasured using current assumptions,Fulfilment cash flows are updated at each reporting date,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,What determines whether assumption changes affect profit or loss or CSM,The size of the contract,Whether the change relates to past or future service,The type of insurance product,The premium payment pattern,Whether the change relates to past or future service,Past service affects profit or loss while future service adjusts CSM,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,What is the purpose of coverage units under IFRS 17,To determine premiums,To allocate the contractual service margin over the coverage period,To measure risk adjustment,To calculate discount rates,To allocate the contractual service margin over the coverage period,Coverage units reflect the quantity of service provided,,,,,,,,,,,,
6,Subsequent Measurement,Beginner,How is the contractual service margin recognised over time,It is recognised immediately,It is recognised when claims are paid,It is recognised systematically as services are provided,It is recognised in OCI,It is recognised systematically as services are provided,CSM represents unearned profit and is released as insurance service is delivered,,,,,,,,,,,,
6,Subsequent Measurement,Expert,Which changes bypass adjustment of the contractual service margin under the General Measurement Model,Changes in estimates of future service cash flows,Experience adjustments relating to past service,Changes in coverage units,Changes in discount rates for future service,Experience adjustments relating to past service,Past service experience is recognised immediately in profit or loss,,,,,,,,,,,,
6,Subsequent Measurement,Expert,How is discount accretion on the contractual service margin treated under IFRS 17,Recognised in profit or loss as insurance revenue,Added to the contractual service margin using the locked in discount rate,Recognised in OCI,Ignored for measurement purposes,Added to the contractual service margin using the locked in discount rate,The CSM is accreted using the discount rate determined at initial recognition,,,,,,,,,,,,
6,Subsequent Measurement,Expert,Why are coverage units required under IFRS 17,To calculate premium income,To allocate the contractual service margin over the coverage period,To determine the risk adjustment,To measure fulfilment cash flows,To allocate the contractual service margin over the coverage period,Coverage units reflect the quantity of insurance service provided,,,,,,,,,,,,
6,Subsequent Measurement,Expert,Under what condition is an insurance contract group considered onerous after initial recognition,When risk adjustment increases,When the contractual service margin is fully exhausted,When discount rates decrease,When claims volatility increases,When the contractual service margin is fully exhausted,"Once CSM is reduced to zero, further losses are recognised in profit or loss",,,,,,,,,,,,
6,Subsequent Measurement,Expert,What is the primary economic purpose of the contractual service margin in subsequent measurement,To reduce reported liabilities,To eliminate volatility in profit,To systematically recognise profit as services are provided,To align accounting with solvency rules,To systematically recognise profit as services are provided,The CSM ensures profit is recognised in line with insurance service delivery,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,Which of the following is NOT a required characteristic of the discount rate under IFRS 17?,Consistency with observable market prices for similar cash flows,Inclusion of illiquidity premiums to reflect insurance contract liquidity,Use of a single fixed discount rate across all types of contracts,Alignment with other assumptions used in valuation to avoid double counting,Use of a single fixed discount rate across all types of contracts,"IFRS 17 does not require or recommend a single fixed discount rate for all contracts. Instead, the discount rate should reflect characteristics like liquidity, inflation, and dependency on underlying items.",,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,Which of the following is a correct interpretation of IFRS 17's guidance on using market data to determine discount rates?,Discount rates must exclude the effect of market variables that do not impact the insurance contract's cash flows.,"Observable market prices should always be used, even if they include factors unrelated to insurance contract cash flows.",Market observable discount rates can be used even if they reflect credit risk not relevant to the insurance liability.,Discount rates should reflect all observable market factors regardless of contract characteristics.,Discount rates must exclude the effect of market variables that do not impact the insurance contract's cash flows.,"IFRS 17 requires that discount rates exclude market variables that don’t affect the contract’s cash flows, even if these variables are in observable market prices.",,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Beginner,What is the primary distinction between the bottom-up and top-down approaches for deriving discount rates under IFRS 17?,The bottom-up approach starts from asset returns and adjusts for insurance features,The top-down approach uses a risk-free curve and adds risk premiums,The top-down approach always requires matching the exact liquidity of insurance contracts.,The bottom-up approach starts with a liquid risk-free yield curve and adjusts for illiquidity,The bottom-up approach starts with a liquid risk-free yield curve and adjusts for illiquidity,The bottom-up approach begins with a liquid risk-free yield curve and adjusts it to reflect the liquidity characteristics and other factors relevant to the insurance contracts.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,Which statement is TRUE regarding liquidity adjustments in the top-down approach under IFRS 17?,Liquidity differences between the reference assets and insurance contracts must always be adjusted,No liquidity adjustments are allowed under the top-down approach,Adjustments are made only if the reference portfolio’s liquidity differs significantly from that of the insurance contracts,"Liquidity risk is already captured in the nominal cash flows, so no adjustments are required",Adjustments are made only if the reference portfolio’s liquidity differs significantly from that of the insurance contracts,IFRS 17 requires liquidity adjustments under the top-down approach only if the reference portfolio’s liquidity is not sufficiently consistent with that of the insurance contracts.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,"When a group of insurance contracts becomes onerous after initial recognition under IFRS 17, what happens to the Contractual Service Margin (CSM)?",It is increased to reflect the higher expected losses.,"It remains unchanged, as changes are only recognized at initial recognition.","It is set to zero, and a loss component is established to reflect the excess of fulfilment cash flows over the expected inflows.",It is transferred to the Liability for Incurred Claims (LIC).,"It is set to zero, and a loss component is established to reflect the excess of fulfilment cash flows over the expected inflows.","If a group becomes onerous after initial recognition, IFRS 17 requires setting the CSM to zero and recognizing a loss component.",,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,Can a loss component (LC) established for an onerous group of contracts under IFRS 17 be reversed in subsequent periods?,"No, once established, a loss component cannot be reversed.","Yes, but only through adjustments to the Risk Adjustment for non-financial risk.",Only if the contracts are derecognized.,"Yes, if future changes in fulfilment cash flows indicate that the group is no longer onerous.","Yes, if future changes in fulfilment cash flows indicate that the group is no longer onerous.","Future favorable changes in fulfilment cash flows can indicate that the group is no longer onerous, allowing reversal of the loss component.",,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,"In the context of IFRS 17, what does the Liability for Remaining Coverage (LRC) represent when the Contractual Service Margin (CSM) is nil?",The sum of the fulfilment cash flows and the loss component.,Only the present value of future cash flows without any adjustments.,The Liability for Incurred Claims (LIC) only.,The Risk Adjustment for non-financial risk only.,The sum of the fulfilment cash flows and the loss component.,"When the CSM is zero, the LRC consists of the fulfilment cash flows plus any loss component for onerous contracts.",,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,Which discount rate is used to accrete interest on the CSM?,The risk-free rate at the reporting date,The weighted average discount rate for incurred claims,The current market interest rate for government bonds,The discount rate at initial recognition of the group of contracts,The discount rate at initial recognition of the group of contracts,Interest on the CSM is accreted using the locked-in discount rate set at initial recognition of the group.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,Which of the following characteristics would lead to a higher risk adjustment according to IFRS 17 principles?,"High-frequency, low-severity risks",Short-duration contracts with predictable claims,Risks with narrow probability distributions,Contracts where little is known about emerging experience,Contracts where little is known about emerging experience,Greater uncertainty in emerging experience heightens the need for a larger risk adjustment.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,Which of the following risks is excluded from the IFRS 17 risk adjustment?,Lapse risk,Expense risk,Financial risk (e.g. interest rate risk),Morbidity risk,Financial risk (e.g. interest rate risk),"The risk adjustment covers non-financial risks only. Financial risks are reflected in discount rates or cash flows, not the risk adjustment.",,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Beginner,"Under IFRS 17, what is the primary objective of discounting csm and risk adjustment?",Reduce volatility,Reflect time value and uncertainty of cash flows,Maximise profit,Align with tax rules,Reflect time value and uncertainty of cash flows,"IFRS 17 focuses on current, market-consistent measurement of insurance obligations.",,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Expert,Which assumption requires the highest level of judgement under Discounting CSM and Risk Adjustment?,Contract boundary,Discount rate determination,Policy count,Premium frequency,Discount rate determination,Discount rates require judgement to reflect characteristics of the insurance cash flows.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,How does a change in estimates affect the CSM under Discounting CSM and Risk Adjustment?,Always recognised in profit or loss,Always ignored,Adjusted against CSM if it relates to future service,Recognised as OCI only,Adjusted against CSM if it relates to future service,Changes related to future service adjust the CSM under IFRS 17.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Standard,When would Discounting CSM and Risk Adjustment result in immediate profit or loss recognition?,At initial recognition of profitable contracts,When contracts become onerous,When premiums are received,Never,When contracts become onerous,Onerous contracts result in immediate loss recognition.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Expert,What is the key disclosure requirement related to Discounting CSM and Risk Adjustment?,Only total revenue,Judgements and methods applied,Tax reconciliation,Dividend policy,Judgements and methods applied,IFRS 17 requires disclosure of key judgements and assumptions.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Beginner,What is the purpose of IFRS 17?,Increase profits,Standardise insurance accounting,Reduce taxes,Eliminate judgement,Standardise insurance accounting,IFRS 17 provides a consistent framework for accounting for insurance contracts.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Beginner,Which contracts are within the scope of IFRS 17?,Investment contracts only,Insurance contracts,Service contracts,Lease contracts,Insurance contracts,IFRS 17 applies to insurance contracts issued.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Beginner,What does CSM represent?,Past losses,Unearned profit,Investment income,Risk margin,Unearned profit,CSM represents unearned profit recognised over service period.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Beginner,What is an onerous contract?,Profitable contract,Contract with expected losses,Expired contract,Reinsured contract,Contract with expected losses,Onerous contracts have fulfilment cash flows exceeding premiums.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Beginner,What is the contract boundary?,Policy term only,Point where insurer can reprice risk,Reinsurance limit,Coverage period,Point where insurer can reprice risk,Contract boundary defines which cash flows are included.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Expert,How should changes in estimates relating to future service be treated?,Profit or loss,OCI,Adjust CSM,Ignore,Adjust CSM,Changes relating to future service adjust the CSM.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Expert,When is a loss component established?,Initial recognition,When contract becomes onerous,At maturity,Never,When contract becomes onerous,Loss component is recognised for onerous groups.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Expert,Which discount rate approach reflects asset yields adjusted for credit risk?,Bottom-up,Top-down,Historical,Locked-in,Top-down,Top-down approach starts with asset yields and adjusts.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Expert,How are reinsurance recoveries recognised for onerous contracts?,Deferred,Ignored,Immediately recognised,OCI,Immediately recognised,IFRS 17 allows immediate recognition of reinsurance recoveries.,,,,,,,,,,,,
7,Discounting CSM and Risk Adjustment,Expert,What disclosure is required for significant judgements?,Optional,Not required,Mandatory,Only quantitative,Mandatory,IFRS 17 requires disclosure of significant judgements.,,,,,,,,,,,,
8,Onerous Contracts,Beginner,When is a contract classified as an onerous contract under IFRS 17?,When the contract is expected to lapse early,When the contract has no Contractual Service Margin (CSM),When the contract is expected to incur a loss,When the contract has no insurance risk,When the contract is expected to incur a loss,"An onerous contract is one where fulfilment cash flows exceed expected inflows (premiums), resulting in a loss.",,,,,,,,,,,,
8,Onerous Contracts,Standard,How is the CSM treated for onerous contracts?,Deferred,Reversed,Released to profit,Set to zero,Set to zero,The CSM is set to zero since no future profits are expected.,,,,,,,,,,,,
8,Onerous Contracts,Beginner,Which component is recognized when a group is onerous at initial recognition?,Contractual Service Margin,Risk Adjustment,Loss Component,Investment Return,Loss Component,The loss component is set up to represent losses on onerous contracts and is recognized immediately in profit or loss.,,,,,,,,,,,,
8,Onerous Contracts,Beginner,How is the loss component recognized?,As an asset,Through OCI,As an adjustment to the CSM,In profit or loss,In profit or loss,The loss component is recognized immediately in profit or loss.,,,,,,,,,,,,
8,Onerous Contracts,Standard,What happens if cash flow estimates improve?,Loss component is reversed first,CSM increases,Risk adjustment decreases,Premiums are restated,Loss component is reversed first,Improvements first reduce the loss component before adjusting the CSM.,,,,,,,,,,,,
8,Onerous Contracts,Beginner,When is a contract classified as onerous?,When risk adjustment is high,When expected profit is low,When fulfilment cash flows exceed premiums,When lapse rate is high,When fulfilment cash flows exceed premiums,"A contract is onerous when the fulfilment cash flows exceed the expected inflows, indicating a net loss.",,,,,,,,,,,,
8,Onerous Contracts,Standard,What happens to the CSM if a group of contracts becomes onerous after initial recognition?,It is increased,It is set to zero and loss is recognized,It is locked in,It is recalculated using old assumptions,It is set to zero and loss is recognized,"If contracts become onerous after initial recognition, the CSM is reduced to zero, and any further loss is recognized in profit or loss.",,,,,,,,,,,,
8,Onerous Contracts,Standard,Which of the following changes can make a previously profitable contract group onerous?,Increase in administrative expenses,Drop in discount rates,Revised premium allocation method,Change in accounting policy,Increase in administrative expenses,"Increases in expected expenses can raise fulfilment cash flows, potentially making the group onerous.",,,,,,,,,,,,
8,Onerous Contracts,Standard,How does the loss component affect future insurance revenue?,No effect,Increases revenue,It reduces future revenue,It replaces CSM in revenue recognition,It replaces CSM in revenue recognition,"For onerous groups, the loss component replaces the CSM and is released as insurance revenue as coverage is provided.",,,,,,,,,,,,
8,Onerous Contracts,Standard,What causes a change in the loss component?,Increase in discount rate,Change in reinsurance treaty,Adverse claims development,Policyholder death,Adverse claims development,Any adverse change in fulfilment cash flows increases the loss component.,,,,,,,,,,,,
8,Onerous Contracts,Standard,"Under IFRS 17, which model requires immediate recognition of an onerous contract?",GMM only,PAA only,Both GMM and PAA,VFA only,Both GMM and PAA,Both models require immediate recognition of losses when a group is onerous.,,,,,,,,,,,,
8,Onerous Contracts,Expert,How does a change in lapse assumptions affect the loss component?,No effect,Can increase or decrease the loss component,Only affects CSM,Ignored until contract ends,Can increase or decrease the loss component,"Changes in expected lapses affect future cash flows, which can alter the loss component.",,,,,,,,,,,,
8,Onerous Contracts,Expert,How is reinsurance recoverable treated when a contract group is onerous?,Reduces the loss component,It is ignored in loss calculation,Increases CSM,Adjusts risk adjustment only,Reduces the loss component,Recoverable amounts from reinsurance reduce the net loss component recognized in profit or loss.,,,,,,,,,,,,
8,Onerous Contracts,Expert,Which scenario could cause a previously non-onerous contract to become onerous without a change in claims experience?,Early termination of policy,Increase in premiums,Change in policyholder behavior assumptions,Change in discount rate,Change in discount rate,"Adjustments to discount rates affect present value of fulfilment cash flows, potentially making the contract onerous.",,,,,,,,,,,,
8,Onerous Contracts,Standard,"In a group containing both profitable and onerous contracts, how is the CSM affected?",Only the profitable contracts contribute to CSM,All contracts are treated as onerous,CSM is reduced for all contracts,CSM is unaffected,Only the profitable contracts contribute to CSM,IFRS 17 separates onerous contracts; CSM is only recognized for profitable contracts.,,,,,,,,,,,,
9,Premium Allocation Approach,Standard,When is an entity allowed to apply the Premium Allocation Approach (PAA)?,Only for life insurance contracts,For all investment contracts,If the contract duration is ?12 months or if results are similar to GMM,For contracts with no risk adjustment,If the contract duration is ?12 months or if results are similar to GMM,"PAA can be used if the coverage period is 12 months or less, or if using PAA would yield results that are not materially different from the General Measurement Model (GMM).",,,,,,,,,,,,
9,Premium Allocation Approach,Standard,What does the liability for remaining coverage (LRC) under PAA represent?,Future claims paid,Present value of premiums,The unearned portion of premiums minus acquisition costs,Incurred claims,The unearned portion of premiums minus acquisition costs,"LRC under PAA reflects the simplified unearned premium approach, adjusted for amortized acquisition costs.",,,,,,,,,,,,
9,Premium Allocation Approach,Standard,Which of the following requires risk adjustment under PAA?,Liability for incurred claims,Acquisition cost asset,Liability for remaining coverage,Premium receivable,Liability for incurred claims,"Under PAA, the risk adjustment applies to the liability for incurred claims to account for uncertainty in non-financial risk.",,,,,,,,,,,,
9,Premium Allocation Approach,Standard,What happens if the liability for remaining coverage is lower than fulfilment cash flows?,Create a contractual service margin,Defer acquisition costs,Recognize a loss,Discount more,Recognize a loss,"If fulfilment cash flows exceed the liability for remaining coverage, the contract is deemed onerous and the excess is recognized as a loss.",,,,,,,,,,,,
9,Premium Allocation Approach,Standard,What are fulfilment cash flows made up of?,Future premiums only,Future claims and profits,"Expected future inflows and outflows, discounted, plus risk adjustment",Written premium minus expenses,"Expected future inflows and outflows, discounted, plus risk adjustment",Fulfilment cash flows reflect the present value of expected future inflows and outflows plus the risk adjustment for non-financial risk.,,,,,,,,,,,,
9,Premium Allocation Approach,Standard,How is insurance revenue recognized under PAA?,All at inception,When claims are paid,Evenly over the coverage period,At contract expiry,Evenly over the coverage period,"Under PAA, revenue is typically recognized on a straight-line basis over the coverage period, reflecting insurance services provided.",,,,,,,,,,,,
9,Premium Allocation Approach,Standard,Can insurers offset profitable and onerous contracts within a portfolio under PAA?,"No, grouping rules prevent offsetting",Only with auditor approval,Yes,Only for reinsurance,"No, grouping rules prevent offsetting",IFRS 17 requires separate grouping of onerous and profitable contracts; losses cannot be offset by profitable ones.,,,,,,,,,,,,
9,Premium Allocation Approach,Beginner,What is a key disclosure requirement under IFRS 17 even when using PAA?,No disclosure required,Confidence level of liabilities,Market value of assets,Tax provision for each contract,Confidence level of liabilities,"Disclosure of the confidence level used to determine the risk adjustment is required, even under the PAA approach.",,,,,,,,,,,,
9,Premium Allocation Approach,Standard,Can PAA be used for reinsurance contracts held?,"Yes, if eligibility criteria are met","No, PAA is only for direct contracts","Yes, but only in life insurance",Only if premiums exceed claims,"Yes, if eligibility criteria are met",PAA can be applied to reinsurance contracts held if the contract meets the same criteria used for direct contracts.,,,,,,,,,,,,
9,Premium Allocation Approach,Standard,What happens when acquisition costs are deferred for an onerous group?,The loss reduces,It offsets the fulfilment cash flows,It increases the recognized loss,It increases future profits,It increases the recognized loss,"Deferring acquisition costs for an onerous group effectively lowers the LRC and can increase the shortfall, leading to a higher loss.",,,,,,,,,,,,
9,Premium Allocation Approach,Beginner,"Under IFRS 17, what is the primary objective of premium allocation approach?",Reduce volatility,Reflect time value and uncertainty of cash flows,Maximise profit,Align with tax rules,Reflect time value and uncertainty of cash flows,"IFRS 17 focuses on current, market-consistent measurement of insurance obligations.",,,,,,,,,,,,
9,Premium Allocation Approach,Expert,Which assumption requires the highest level of judgement under Premium Allocation Approach?,Contract boundary,Discount rate determination,Policy count,Premium frequency,Discount rate determination,Discount rates require judgement to reflect characteristics of the insurance cash flows.,,,,,,,,,,,,
9,Premium Allocation Approach,Standard,How does a change in estimates affect the CSM under Premium Allocation Approach?,Always recognised in profit or loss,Always ignored,Adjusted against CSM if it relates to future service,Recognised as OCI only,Adjusted against CSM if it relates to future service,Changes related to future service adjust the CSM under IFRS 17.,,,,,,,,,,,,
9,Premium Allocation Approach,Standard,When would Premium Allocation Approach result in immediate profit or loss recognition?,At initial recognition of profitable contracts,When contracts become onerous,When premiums are received,Never,When contracts become onerous,Onerous contracts result in immediate loss recognition.,,,,,,,,,,,,
9,Premium Allocation Approach,Expert,What is the key disclosure requirement related to Premium Allocation Approach?,Only total revenue,Judgements and methods applied,Tax reconciliation,Dividend policy,Judgements and methods applied,IFRS 17 requires disclosure of key judgements and assumptions.,,,,,,,,,,,,
9,Premium Allocation Approach,Beginner,What is the purpose of IFRS 17?,Increase profits,Standardise insurance accounting,Reduce taxes,Eliminate judgement,Standardise insurance accounting,IFRS 17 provides a consistent framework for accounting for insurance contracts.,,,,,,,,,,,,
9,Premium Allocation Approach,Beginner,Which contracts are within the scope of IFRS 17?,Investment contracts only,Insurance contracts,Service contracts,Lease contracts,Insurance contracts,IFRS 17 applies to insurance contracts issued.,,,,,,,,,,,,
9,Premium Allocation Approach,Beginner,What does CSM represent?,Past losses,Unearned profit,Investment income,Risk margin,Unearned profit,CSM represents unearned profit recognised over service period.,,,,,,,,,,,,
9,Premium Allocation Approach,Beginner,What is an onerous contract?,Profitable contract,Contract with expected losses,Expired contract,Reinsured contract,Contract with expected losses,Onerous contracts have fulfilment cash flows exceeding premiums.,,,,,,,,,,,,
9,Premium Allocation Approach,Beginner,What is the contract boundary?,Policy term only,Point where insurer can reprice risk,Reinsurance limit,Coverage period,Point where insurer can reprice risk,Contract boundary defines which cash flows are included.,,,,,,,,,,,,
9,Premium Allocation Approach,Expert,How should changes in estimates relating to future service be treated?,Profit or loss,OCI,Adjust CSM,Ignore,Adjust CSM,Changes relating to future service adjust the CSM.,,,,,,,,,,,,
9,Premium Allocation Approach,Expert,When is a loss component established?,Initial recognition,When contract becomes onerous,At maturity,Never,When contract becomes onerous,Loss component is recognised for onerous groups.,,,,,,,,,,,,
9,Premium Allocation Approach,Expert,Which discount rate approach reflects asset yields adjusted for credit risk?,Bottom-up,Top-down,Historical,Locked-in,Top-down,Top-down approach starts with asset yields and adjusts.,,,,,,,,,,,,
9,Premium Allocation Approach,Expert,How are reinsurance recoveries recognised for onerous contracts?,Deferred,Ignored,Immediately recognised,OCI,Immediately recognised,IFRS 17 allows immediate recognition of reinsurance recoveries.,,,,,,,,,,,,
9,Premium Allocation Approach,Expert,What disclosure is required for significant judgements?,Optional,Not required,Mandatory,Only quantitative,Mandatory,IFRS 17 requires disclosure of significant judgements.,,,,,,,,,,,,
